sn,slug,contract,tokenid,lastsale,suspicious,profit,creatorfee os,creatorfee blur
1,milady,0x5af0d9827e0c53e4799bb226655a1de152a425a5,3647,1.27,False,2.7429429689160854,0.0,0.0
2,good-vibes-club,0xb8ea78fcacef50d41375e44e6814ebba36bb33c4,4962,0.704,False,-8.069318,5.0,0.0
