sn,slug,contract,tokenid,lastsale,suspicious,profit,creatorfee os,creatorfee blur
1,wolf-game-generation-2,0xfb40afd6b7cb87922e4fd828771c62421447e1d5,16301,0.0193,FALSE,27.012435,0,0
2,moriusa-stpr,0xa8edf6c9ac6bf1a00afaaca6e0ca705b89192fb9,1002,0.245,FALSE,12.983673,5,0
