names,factor,floor_price,opensea_traits,blur_traits
azuki,0.94495,0.75923,,
quirkiesoriginals,0.95375,1.10607,,
lilpudgys,0.94351,0.43417,"{""type"": ""Left Flipper"", ""value"": ""None""}","{""Left Flipper"":""None""}"
mutant-ape-yacht-club,0.95011,0.978,,
